model,reference_trajectory,anchor,branch,prediction_step,valid,predicted_mean_x_m,predicted_mean_y_m,actual_x_m,actual_y_m,euclidean_error_mm
diffusion,test_c00_side-1,0,7,6,1,-0.09306623856537044,-0.5740180406719446,-0.0901203379034996,-0.5716289281845093,3.7929130213109974
diffusion,test_c00_side-1,0,8,1,1,-0.0023783494616509415,-0.6496650986373425,-0.002119319513440132,-0.6495229601860046,0.29546548600269174
diffusion,test_c00_side-1,0,8,2,1,-0.008231222484027967,-0.6494101174175739,-0.007769148331135511,-0.6492926478385925,0.47677208890343775
diffusion,test_c00_side-1,0,8,3,1,-0.017112160101532936,-0.6495774686336517,-0.016934985294938087,-0.6491799354553223,0.4352281470271086
diffusion,test_c00_side-1,0,8,4,1,-0.0300197793985717,-0.649217976257205,-0.02959676831960678,-0.6491245031356812,0.4332154168245615
diffusion,test_c00_side-1,0,8,5,1,-0.046787077793851495,-0.6488010361790657,-0.04573323577642441,-0.6490970849990845,1.094635967584337
diffusion,test_c00_side-1,0,8,6,1,-0.06818531639873981,-0.6504008937627077,-0.06532283127307892,-0.6490834355354309,3.151113656352181
diffusion,test_c00_side-1,0,9,1,1,-0.0017212872917298228,-0.6396534666419029,-0.0015161024639382958,-0.6398420929908752,0.27871259943258075
diffusion,test_c00_side-1,0,9,2,1,-0.005277619216940366,-0.6216609310358763,-0.004780826158821583,-0.6224960088729858,0.9716781033997848
diffusion,test_c00_side-1,0,9,3,1,-0.009890921763144433,-0.6023718975484371,-0.009431094862520695,-0.6028792858123779,0.6847507786940472
diffusion,test_c00_side-1,0,9,4,1,-0.015539005980826914,-0.5811005216091871,-0.015267749316990376,-0.5823347568511963,1.2636917386345239
diffusion,test_c00_side-1,0,9,5,1,-0.021951041417196393,-0.559531981125474,-0.022053485736250877,-0.5612013936042786,1.6725527982383745
diffusion,test_c00_side-1,0,9,6,1,-0.02979595895158127,-0.5373493861407042,-0.029508521780371666,-0.5395697951316833,2.2389364025389877
diffusion,test_c00_side-1,0,10,1,1,-0.002380759149673395,-0.6496667061001062,-0.002119319513440132,-0.6495229601860046,0.29835142234399603
diffusion,test_c00_side-1,0,10,2,1,-0.00822472048457712,-0.6494153533130884,-0.007769148331135511,-0.6492926478385925,0.4718078215361472
diffusion,test_c00_side-1,0,10,3,1,-0.017104052647482604,-0.6495777554810047,-0.016934985294938087,-0.6491799354553223,0.4322551821903312
diffusion,test_c00_side-1,0,10,4,1,-0.030003999068867415,-0.6492247860878706,-0.02959676831960678,-0.6491245031356812,0.41939665430616885
diffusion,test_c00_side-1,0,10,5,1,-0.046775189810432494,-0.6487873159348965,-0.04573323577642441,-0.6490970849990845,1.0870257964343046
diffusion,test_c00_side-1,0,10,6,1,-0.06815940048545599,-0.6503890603780746,-0.06532283127307892,-0.6490834355354309,3.122624077011827
diffusion,test_c00_side-1,0,11,1,1,-0.002891379510401748,-0.6538804899901152,-0.0027241772040724754,-0.6534771919250488,0.436584402524964
diffusion,test_c00_side-1,0,11,2,1,-0.010367259528720751,-0.6626220811158419,-0.009973512031137943,-0.6627305150032043,0.40840543554323877
diffusion,test_c00_side-1,0,11,3,1,-0.022547572967596352,-0.6787461321800947,-0.02171248011291027,-0.6777145862579346,1.327202722071116
diffusion,test_c00_side-1,0,11,4,1,-0.03905064694117755,-0.6989377308636904,-0.03790510445833206,-0.6983834505081177,1.2725935299920388
diffusion,test_c00_side-1,0,11,5,1,-0.05989357992075384,-0.7230903953313828,-0.05851604416966438,-0.7246919870376587,2.112510529948067
diffusion,test_c00_side-1,0,11,6,1,-0.08502819365821779,-0.7550154030323029,-0.08351040631532669,-0.7565957307815552,2.1911444984978328
diffusion,test_c00_side-1,0,12,1,1,-0.0031941207125782967,-0.6448537912219763,-0.0028266971930861473,-0.6449975371360779,0.3945414179739595
diffusion,test_c00_side-1,0,12,2,1,-0.00875807082047686,-0.6444068513810635,-0.009118531830608845,-0.6456568241119385,1.3009089006369794
diffusion,test_c00_side-1,0,12,3,1,-0.020215860102325678,-0.6505092047154903,-0.019757898524403572,-0.6526567339897156,2.1958166568516755
diffusion,test_c00_side-1,0,12,4,1,-0.03781814011745155,-0.6618723683059216,-0.03486628457903862,-0.6654074192047119,4.605435481764738
diffusion,test_c00_side-1,0,12,5,1,-0.05249368119984865,-0.672498831525445,-0.05576610565185547,-0.6766347885131836,5.2739835038153045
diffusion,test_c00_side-1,0,12,6,1,-0.07684237044304609,-0.6637681685388088,-0.08814261108636856,-0.6691787838935852,12.52877476508932
diffusion,test_c00_side-1,0,13,1,1,-0.0017654627627052832,-0.6347065456211567,-0.0012248115381225944,-0.6345863342285156,0.553854245775426
diffusion,test_c00_side-1,0,13,2,1,-0.003902314158040099,-0.6050069201737642,-0.003375574480742216,-0.6061285734176636,1.2391774236120516
diffusion,test_c00_side-1,0,13,3,1,-0.007937517832033336,-0.5741697885096073,-0.006769457831978798,-0.5748646259307861,1.3591038244364695
diffusion,test_c00_side-1,0,13,4,1,-0.01551992550957948,-0.5483375266194344,-0.013687609694898129,-0.5481870174407959,1.8384869478965054
diffusion,test_c00_side-1,0,13,5,1,-0.025781225878745317,-0.5131059382110834,-0.021715866401791573,-0.5147479176521301,4.384432022700057
diffusion,test_c00_side-1,0,13,6,1,-0.033992087352089584,-0.48054436687380075,-0.03105543926358223,-0.48258233070373535,3.5745207465974493
diffusion,test_c00_side-1,0,14,1,1,-0.002508455923816655,-0.6385717894881964,-0.002021661726757884,-0.6382154226303101,0.6032958873470446
diffusion,test_c00_side-1,0,14,2,1,-0.007890272652730346,-0.6170603465288877,-0.007143442053347826,-0.6178300976753235,1.0725077023561118
diffusion,test_c00_side-1,0,14,3,1,-0.015599637816194445,-0.5950307734310627,-0.015182164497673512,-0.594825804233551,0.4650767072273776
diffusion,test_c00_side-1,0,14,4,1,-0.02592476416612044,-0.5713724587112665,-0.026089876890182495,-0.5710879564285278,0.32894340019327856
diffusion,test_c00_side-1,0,14,5,1,-0.03957301378250122,-0.5469374526292086,-0.039870116859674454,-0.547292172908783,0.4627058625165024
diffusion,test_c00_side-1,0,14,6,1,-0.05665770801715553,-0.523268423974514,-0.05654432997107506,-0.5237568020820618,0.5013658916050798
diffusion,test_c00_side-1,0,15,1,1,-0.0026559430625638925,-0.653613343834877,-0.0027241772040724754,-0.6534771919250488,0.1522932717400077
diffusion,test_c00_side-1,0,15,2,1,-0.0097870169847738,-0.6623319573700428,-0.009973512031137943,-0.6627305150032043,0.4400324866071783
diffusion,test_c00_side-1,0,15,3,1,-0.02146758633898571,-0.676637614145875,-0.02171248011291027,-0.6777145862579346,1.1044645266648967
diffusion,test_c00_side-1,0,15,4,1,-0.03813708561938256,-0.6967432498931885,-0.03790510445833206,-0.6983834505081177,1.6565244689700362
diffusion,test_c00_side-1,0,15,5,1,-0.058535020565614104,-0.7227544374763966,-0.05851604416966438,-0.7246919870376587,1.9376424866188076
diffusion,test_c00_side-1,0,15,6,1,-0.08296483685262501,-0.7541649285703897,-0.08351040631532669,-0.7565957307815552,2.491273856572042
diffusion,test_c00_side-1,1,0,1,1,-0.42800481617450714,-0.15189911797642708,-0.4279174506664276,-0.15189766883850098,0.08737752573015031
diffusion,test_c00_side-1,1,0,2,1,-0.4529520720243454,-0.11480100522749126,-0.45327332615852356,-0.11484125256538391,0.32376545049465294
diffusion,test_c00_side-1,1,0,3,1,-0.47321273759007454,-0.0757794608362019,-0.47427287697792053,-0.07578770816326141,1.0601714672948446
diffusion,test_c00_side-1,1,0,4,1,-0.48989484179764986,-0.03584321867674589,-0.4902712106704712,-0.0355897881090641,0.45374065396910745
diffusion,test_c00_side-1,1,0,5,1,-0.5015599001199007,0.002992824651300907,-0.5013553500175476,0.004571559838950634,1.5919313858003052
diffusion,test_c00_side-1,1,0,6,1,-0.508461382240057,0.041874922811985016,-0.5088713765144348,0.04333869367837906,1.5201054089524728
diffusion,test_c00_side-1,1,1,1,1,-0.42887104116380215,-0.15277685457840562,-0.42873668670654297,-0.1526564061641693,0.180440961750511
diffusion,test_c00_side-1,1,1,2,1,-0.45569206215441227,-0.11614391091279685,-0.45554110407829285,-0.116679847240448,0.5567908835836582
diffusion,test_c00_side-1,1,1,3,1,-0.47813694179058075,-0.07754348265007138,-0.4782273471355438,-0.07847011089324951,0.9310279412849426
diffusion,test_c00_side-1,1,1,4,1,-0.4993226947262883,-0.038102861028164625,-0.4981341063976288,-0.04010448604822159,2.327927175824816
diffusion,test_c00_side-1,1,1,5,1,-0.5260076560080051,-0.011122526600956917,-0.5271369814872742,-0.014032643288373947,3.121562937457659
diffusion,test_c00_side-1,1,1,6,1,-0.5605029631406069,0.00676268246024847,-0.5624120831489563,-0.005533107090741396,12.443117772026095
diffusion,test_c00_side-1,1,2,1,1,-0.42980204056948423,-0.15381350740790367,-0.4296155571937561,-0.15349742770195007,0.366991048853609
diffusion,test_c00_side-1,1,2,2,1,-0.4588557779788971,-0.11889207945205271,-0.4582146406173706,-0.11895792186260223,0.6445093788085011
diffusion,test_c00_side-1,1,2,3,1,-0.4864600105211139,-0.08649047371000051,-0.48684510588645935,-0.0861172303557396,0.5362919372044587
diffusion,test_c00_side-1,1,2,4,1,-0.5250213351100683,-0.0779026944655925,-0.5232869386672974,-0.07986664026975632,2.6201553660783556
diffusion,test_c00_side-1,1,2,5,1,-0.5601449962705374,-0.07553651859052479,-0.5614136457443237,-0.08643417805433273,10.971255774817264
diffusion,test_c00_side-1,1,2,6,1,-0.5708361640572548,-0.11732434923760593,-0.5831423997879028,-0.10300613939762115,18.88000452542624
diffusion,test_c00_side-1,1,3,1,1,-0.42766815330833197,-0.15159162553027272,-0.42757195234298706,-0.1515849232673645,0.09643415401911651
diffusion,test_c00_side-1,1,3,2,1,-0.4516585199162364,-0.1140438998118043,-0.45206910371780396,-0.11394862830638885,0.4214922512381326
diffusion,test_c00_side-1,1,3,3,1,-0.470758942887187,-0.07427958282642066,-0.47169560194015503,-0.0742950513958931,0.9367867730430876
diffusion,test_c00_side-1,1,3,4,1,-0.4855879573151469,-0.03453907044604421,-0.4858451187610626,-0.033719874918460846,0.858611275070409
diffusion,test_c00_side-1,1,3,5,1,-0.4951158734038472,0.004106033593416214,-0.4947896897792816,0.006367845926433802,2.285211322115575
diffusion,test_c00_side-1,1,3,6,1,-0.49998096469789743,0.0428851218894124,-0.5002812743186951,0.044487908482551575,1.6306779974876375
diffusion,test_c00_side-1,1,4,1,1,-0.42249604035168886,-0.14776943158358335,-0.4215095043182373,-0.14684253931045532,1.3536552852490857
diffusion,test_c00_side-1,1,4,2,1,-0.43760219495743513,-0.1109435495454818,-0.4360828995704651,-0.10463664680719376,6.487316904783802
diffusion,test_c00_side-1,1,4,3,1,-0.4643273204565048,-0.09393315203487873,-0.46518856287002563,-0.09482419490814209,1.2392319786224764
diffusion,test_c00_side-1,1,4,4,1,-0.4846719214692712,-0.08122881734743714,-0.4959891736507416,-0.08817670494318008,13.279809448259227
diffusion,test_c00_side-1,1,4,5,1,-0.5106500387191772,-0.0939968810416758,-0.502102792263031,-0.10283415764570236,12.294424742873478
diffusion,test_c00_side-1,1,4,6,1,-0.5140507258474827,-0.13289872417226434,-0.5073514580726624,-0.12177084386348724,12.988837857376428
diffusion,test_c00_side-1,1,5,1,1,-0.41697968542575836,-0.14388644974678755,-0.41670796275138855,-0.14339801669120789,0.5589275995597001
diffusion,test_c00_side-1,1,5,2,1,-0.4314789557829499,-0.10630041896365583,-0.43136805295944214,-0.11210569739341736,5.806337665285794
diffusion,test_c00_side-1,1,5,3,1,-0.44855680875480175,-0.09529425762593746,-0.4536812901496887,-0.1031426265835762,9.373217423156795
diffusion,test_c00_side-1,1,5,4,1,-0.4602102618664503,-0.08696964965201914,-0.46063706278800964,-0.11016832292079926,23.2025990022294
diffusion,test_c00_side-1,1,5,5,1,-0.472229209728539,-0.09069860144518316,-0.4658892750740051,-0.12357070297002792,33.47790062240255
diffusion,test_c00_side-1,1,5,6,1,-0.48115597385913134,-0.11441829428076744,-0.47565558552742004,-0.14271900057792664,28.830266192279456
diffusion,test_c00_side-1,1,6,1,1,-0.43262991588562727,-0.15818154625594616,-0.4331482946872711,-0.1581575572490692,0.5189335742122054
diffusion,test_c00_side-1,1,6,2,1,-0.4728940613567829,-0.14101378759369254,-0.47412487864494324,-0.14163272082805634,1.3776754136712908
diffusion,test_c00_side-1,1,6,3,1,-0.519574211910367,-0.14803652418777347,-0.5178775787353516,-0.15581339597702026,7.959792645348601
diffusion,test_c00_side-1,1,6,4,1,-0.567633269354701,-0.1639417284168303,-0.5654164552688599,-0.1776086986064911,13.845589148037742
diffusion,test_c00_side-1,1,6,5,1,-0.6158544309437275,-0.1881303652189672,-0.6171689033508301,-0.20505255460739136,16.973165037986558
diffusion,test_c00_side-1,1,6,6,1,-0.6547573264688253,-0.21800901554524899,-0.6730673313140869,-0.23808641731739044,27.17274994095171
diffusion,test_c00_side-1,1,7,1,1,-0.42960657831281424,-0.15375979896634817,-0.43004563450813293,-0.15439844131469727,0.7750060591715252
diffusion,test_c00_side-1,1,7,2,1,-0.4629511469975114,-0.12496786401607096,-0.46486127376556396,-0.12772515416145325,3.354285798177199
diffusion,test_c00_side-1,1,7,3,1,-0.5016735140234232,-0.11129230749793351,-0.5042892694473267,-0.11582449078559875,5.232863631958373
diffusion,test_c00_side-1,1,7,4,1,-0.5286195557564497,-0.13314438052475452,-0.5218358635902405,-0.14192628860473633,11.09686392325048
diffusion,test_c00_side-1,1,7,5,1,-0.5401213355362415,-0.16219831351190805,-0.5138837099075317,-0.17474262416362762,29.082172002090456
diffusion,test_c00_side-1,1,7,6,1,-0.5580783765763044,-0.20265189185738564,-0.5079078078269958,-0.21256105601787567,51.13978395524017
diffusion,test_c00_side-1,1,8,1,1,-0.43312774784862995,-0.15658273780718446,-0.4325573742389679,-0.15652914345264435,0.5728860352962833
diffusion,test_c00_side-1,1,8,2,1,-0.47328130062669516,-0.14090973557904363,-0.47259408235549927,-0.13972966372966766,1.3655909057822082
diffusion,test_c00_side-1,1,8,3,1,-0.5209036245942116,-0.14061340130865574,-0.5198140740394592,-0.13826055824756622,2.592873093978615
diffusion,test_c00_side-1,1,8,4,1,-0.5726825874298811,-0.1489368244074285,-0.5712854862213135,-0.14259794354438782,6.491017053036028
diffusion,test_c00_side-1,1,8,5,1,-0.6275136042386293,-0.1610340834595263,-0.6269112825393677,-0.15270379185676575,8.35203865031912
diffusion,test_c00_side-1,1,8,6,1,-0.6873233765363693,-0.18131342297419906,-0.6866475343704224,-0.16853272914886475,12.79855059333714
diffusion,test_c00_side-1,1,9,1,1,-0.42800749838352203,-0.15189793333411217,-0.4279174506664276,-0.15189766883850098,0.09004810554278912
diffusion,test_c00_side-1,1,9,2,1,-0.4542190246284008,-0.11564312595874071,-0.4544638395309448,-0.11572863161563873,0.25931747698371777
diffusion,test_c00_side-1,1,9,3,1,-0.47814902663230896,-0.07910616579465568,-0.4790568947792053,-0.07893871515989304,0.9231816111857122
diffusion,test_c00_side-1,1,9,4,1,-0.5023005791008472,-0.043149685487151146,-0.5016376376152039,-0.04222701117396355,1.1361422893296724
diffusion,test_c00_side-1,1,9,5,1,-0.5242071505635977,-0.008119308389723301,-0.5231256484985352,-0.006958521902561188,1.586528280716313
diffusion,test_c00_side-1,1,9,6,1,-0.5438601821660995,0.027340155094861984,-0.5426594018936157,0.026189280673861504,1.6632453804834457
diffusion,test_c00_side-1,1,10,1,1,-0.4346962971612811,-0.16003113938495517,-0.4363754987716675,-0.16148777306079865,2.2229484280849756
diffusion,test_c00_side-1,1,10,2,1,-0.4764475831761956,-0.14163547987118363,-0.48061180114746094,-0.14599616825580597,6.029619764130171
diffusion,test_c00_side-1,1,10,3,1,-0.5230221599340439,-0.13114716997370124,-0.5291537046432495,-0.13638000190258026,8.060916233089342
diffusion,test_c00_side-1,1,10,4,1,-0.5733835771679878,-0.1251303912140429,-0.5818791389465332,-0.13263636827468872,11.336413082100634
diffusion,test_c00_side-1,1,10,5,1,-0.6280991546809673,-0.1232614223845303,-0.6387389898300171,-0.1347239911556244,15.639583588798523
diffusion,test_c00_side-1,1,10,6,1,-0.6890878584235907,-0.12806936586275697,-0.6996975541114807,-0.1425975114107132,17.98979309642646
diffusion,test_c00_side-1,1,11,1,1,-0.4386572176590562,-0.16200893092900515,-0.4364618957042694,-0.16094404458999634,2.439963401401017
diffusion,test_c00_side-1,1,11,2,1,-0.47877073660492897,-0.14150582160800695,-0.4783041477203369,-0.1412857472896576,0.5158855423655476
diffusion,test_c00_side-1,1,11,3,1,-0.5244711134582758,-0.12681978149339557,-0.5244263410568237,-0.12754859030246735,0.730182749804739
diffusion,test_c00_side-1,1,11,4,1,-0.5752583555877209,-0.11942622996866703,-0.5747425556182861,-0.11971738934516907,0.5923034619128371
diffusion,test_c00_side-1,1,11,5,1,-0.6264825072139502,-0.11817604210227728,-0.6292106509208679,-0.1177496388554573,2.761265618243491
diffusion,test_c00_side-1,1,11,6,1,-0.6809772476553917,-0.12373127043247223,-0.6877959370613098,-0.1215997114777565,7.144093279892756
diffusion,test_c00_side-1,1,12,1,1,-0.42424311209470034,-0.1486270627938211,-0.42376914620399475,-0.14830508828163147,0.5729845129251637
diffusion,test_c00_side-1,1,12,2,1,-0.45393512956798077,-0.11637451080605388,-0.4537075459957123,-0.11435262858867645,2.0346503344097076
diffusion,test_c00_side-1,1,12,3,1,-0.49107991997152567,-0.0915253721177578,-0.4897221028804779,-0.08659295737743378,5.115895075478687
diffusion,test_c00_side-1,1,12,4,1,-0.5318168606609106,-0.06420661206357181,-0.5279146432876587,-0.06215862184762955,4.406990396257328
diffusion,test_c00_side-1,1,12,5,1,-0.5603649914264679,-0.03789060888811946,-0.5620427131652832,-0.034036438912153244,4.203495740039815
diffusion,test_c00_side-1,1,12,6,1,-0.5966447088867426,-0.021098040509968996,-0.6004765629768372,-0.011909357272088528,9.955651933142297
diffusion,test_c00_side-1,1,13,1,1,-0.41999093256890774,-0.14576349966228008,-0.41916489601135254,-0.1450381726026535,1.0992887417981603
diffusion,test_c00_side-1,1,13,2,1,-0.4413634231314063,-0.10629144753329456,-0.4389650523662567,-0.10392975062131882,3.3659760294987247
diffusion,test_c00_side-1,1,13,3,1,-0.4653950035572052,-0.07749517168849707,-0.46832820773124695,-0.07201406359672546,6.216609416739971
diffusion,test_c00_side-1,1,13,4,1,-0.4908532025292516,-0.04410234186798334,-0.5046036243438721,-0.05590808391571045,18.123179781083206
diffusion,test_c00_side-1,1,13,5,1,-0.5166586097329855,-0.014415222220122814,-0.5450977087020874,-0.04304147884249687,40.35151692792215
diffusion,test_c00_side-1,1,13,6,1,-0.5558200553059578,-0.008079702965915203,-0.5855478048324585,-0.025478312745690346,34.444893876730845
diffusion,test_c00_side-1,1,14,1,1,-0.42804854176938534,-0.1515868785791099,-0.4279206097126007,-0.15196597576141357,0.40010159307821497
diffusion,test_c00_side-1,1,14,2,1,-0.45876792911440134,-0.11739503452554345,-0.4578520357608795,-0.11870960146188736,1.6021694246096638
diffusion,test_c00_side-1,1,14,3,1,-0.4917225679382682,-0.10615084669552743,-0.49094435572624207,-0.11642566323280334,10.304245199024773
diffusion,test_c00_side-1,1,14,4,1,-0.511827889829874,-0.12562013184651732,-0.5061046481132507,-0.14180321991443634,17.165309061037032
diffusion,test_c00_side-1,1,14,5,1,-0.518618069589138,-0.15435913065448403,-0.5098864436149597,-0.17424021661281586,21.71402475441907
diffusion,test_c00_side-1,1,14,6,1,-0.5137622449547052,-0.19299373822286725,-0.5089086890220642,-0.2121448963880539,19.75661570864985
diffusion,test_c00_side-1,1,15,1,1,-0.43668604735285044,-0.16175009123981,-0.4365456700325012,-0.16149064898490906,0.2949848736740698
diffusion,test_c00_side-1,1,15,2,1,-0.4792041489854455,-0.14311572583392262,-0.4789484441280365,-0.14287815988063812,0.34903088153132156
diffusion,test_c00_side-1,1,15,3,1,-0.5256093423813581,-0.13136872928589582,-0.5256452560424805,-0.13017016649246216,1.1991007300717993
diffusion,test_c00_side-1,1,15,4,1,-0.5773571785539389,-0.12574347155168653,-0.5765351057052612,-0.12335915118455887,2.5220601463154537
diffusion,test_c00_side-1,1,15,5,1,-0.6353792399168015,-0.12481778184883296,-0.6315729022026062,-0.12240346521139145,4.507452897183956
diffusion,test_c00_side-1,1,15,6,1,-0.6955846790224314,-0.13016358576714993,-0.6907235383987427,-0.12725761532783508,5.66351060363166
diffusion,test_c00_side-1,2,0,1,1,-0.14775966946035624,0.6211949586868286,-0.14757178723812103,0.6211081147193909,0.2069821347661824
diffusion,test_c00_side-1,2,0,2,1,-0.12798336567357183,0.63908108510077,-0.12800081074237823,0.6387360095977783,0.34551618368843273
diffusion,test_c00_side-1,2,0,3,1,-0.10963027831166983,0.6575832571834326,-0.1096680611371994,0.6568583846092224,0.7258565910337057
diffusion,test_c00_side-1,2,0,4,1,-0.09313840884715319,0.6763616986572742,-0.09282052516937256,0.6755461096763611,0.8753487410091527
